Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,class_code
2,8123532,Accplus Corporation,,Vernida 1 Building,120,Amorsolo,St,108132
2,6453199,Accupak Philippines Incorporated,,,,A Rodriguez,Ave,107844
2,7322318,Accurate Printing Incorporated,,,944,Aurora,Bvd,107844
2,7241615,Accuserv Diagnostic Center Inc,,Fersal Olympia Building,1022,E Rodriguez Sr,Ave,105068
2,2428062,Accuvision Diagnostic Center,,Regina Garden 2,703,Reina Regente,St,105068
2,8870080,Ace Foods Inc,,,2041,Honduras,St,105876
2,8297606,Ace Hardware Phils Inc,,Sm Sucat Super Center,,Dr a Santos,Ave,106130
2,5319214,Ace Promotions and Marketing Company,,,144,Pinatubo,St,107107
2,7495621,Ace-Cor Ambulance Service,,,756,Instruccion,St,104501
2,9136445,Acer Merchandising,,,160,Molave,St,106571
2,3665747,Acero Hardware & Industrial Supply,,,117,B Serrano,St,106130
2,9841743,Acetech Metal Industries Corp,,,6013A,Tatalon,St,107190
2,7143601,Ack Construction,,,697,Pina,Ave,105200
2,9132124,Acl Suites,,Acl Apartelle,72,13th,Ave,106213
2,8966076,Acme Woodworks,,,2124,Primo Rivera,St,104790
2,7232295,Acosta Villarosa Medical Clinic,,Medical Arts Building,,Wilson,St,105068
2,5627345,Acpak Inc,,,8001,Tanque,St,105879
2,3743196,Acta Press Incorporated,,,51,Mother Ignacia,Ave,107891
2,8969405,Active Alliance Finance Corporation,,Clf Building,1167,Chino Roces,Ave,105778
2,8945559,Actron Industries Incorporated,,Acenteron Building,2662,Honduras,St,105872
2,7143405,Acts Review Center,,J and T Building,3894,Pres R Magsaysay,Bvd,106973
2,8943827,Actuarial Advisers Inc,,Tmbc Building,6772,Ayala,Ave,104393
2,8128422,Ad Com Office Network Corporation,,Rufino Var Building,6784,Ayala,Ave,107070
2,5279032,Adams Technical Supplies,,Adams Building,708,Victoria,St,104850
2,4000920,Adamson University,,,900,San Marcelino,St,107961
2,5316417,Addition Lumber,,,874,Gen Kalentong,St,106707
2,9383603,Addtech Resources & Dev Co,,,,Perugia,St,106777
2,7721709,Adec Solution,,Don Mariano Lim Industrial Cmp,15,Alabang-Zapote,Rd,109036
2,8388456,Adequip,,,,Veterans,Rd,107529
2,2429541,Admiral Upholstery Supply & General Merchandise,,,692,S Padilla,St,104920
2,9277133,Admuarrupe International Residence,,,,Katipunan,Ave,108018
2,7265231,Adriana Printing Company Incorporated,,,16,Boston,St,107844
2,5360613,Adriatico Consortium Inc,,Adriatico Square,1920,M Adriatico,St,106213
2,3647755,Advance Diesel System and Turbo Sales Inc,,,706,7th,Ave,107547
2,7332912,Advance Electrical Supply,,,667,Evangelista,St,105563
2,2433040,Advance Foods Corporation,,,626G,Asuncion,St,105876
2,2827357,Advance Shell Service Center,,,69,North Bay,Bvd,107652
2,5264168,Advance Solutions Inc,,Ppl Building,1000,United Nations,Ave,105137
2,5264072,Advance Solutions Incorporated,,Ppl Building,1000,United Nations,Ave,105137
2,2920543,Adventure Manufacturing Corporation,,,77D,A Pablo,St,107725
2,8150550,Adwel Trading Co Inc,,Cafel Building,7505,M Santillan,St,105976
2,8377090,Aegis Integrated Structure Corporation,,,,Veterans,Rd,108207
2,3618679,Aeon Trading,,,214,Rizal Extension,Ave,105418
2,9111121,Aero Med Ambulance,,,50A,Oxford,St,104501
2,9118427,Aero-Seal Trading and Industrial Supply,,,61,16th,Ave,107570
2,8206513,Aerolab Internet Cafe,,,8193,Dr a Santos,Ave,106303
2,8293846,Aeroworld Logistics Phils Inc,,,1,Sampaguita Circle,St,106693
2,8204916,Aeso Engineering,,,5827,Tramo,Rd,105628
2,8446479,Ag-Ro Indl & Mill Supplies,,South Star Plaza,,Pres S Osmena Sr,Hwy,107980
2,8927182,Agcaoili Law Offices,,Fedman Suites,199,Salcedo,St,111176.1
2,8161186,Agchem Mfg Corp,,Liberty Building,835,A S Arnaiz,Ave,104433
2,9112050,Age Trading,,,39,Mirasol,St,106517
2,3633424,Agk Plastic Manufacturing,,,88,Camia,St,107844
2,9414854,Agluba Construction Supply,,,,Bayan-Bayanan,Ave,106887
2,8020571,Aguas,Amelita S,,,Alabang-Zapote,Rd,105068
2,7274092,Aguas de Marco Unlimited Inc,,A and E Building,,Ortigas,Ave,107641
2,8716071,Aguilar Eye Clinic,,Cecilles Restaurant,302,Alabang-Zapote,Rd,108344
2,8176425,Aguirre Loan Company Inc,,Aguirre Building,812,A S Arnaiz,Ave,106684
2,8960146,Agusan Wood Industries Incorporated,,Itc Building,337,Sen Gil Puyat,Ave,106844
2,2937319,Ah Lordsons Inc,,,402,E Custodio,St,108182
2,6360881,Ahead Tutorial and Review Center,,Robinsons Galleria Mall,,Edsa,Ave,106973
2,2455613,Ai Cotton Traders,,Yangco Market,781,Ilaya,St,107399
2,3654720,Ailan's Internet Cafe,,,489,3rd,St,106303
2,6813428,Aim Pest Control,,City Square Building,306,A Rodriguez,Ave,107645
2,8523368,Air Cavaliers Credit Cooperative,,Airmen's Mall,,Paredes,St,105268
2,8540586,Air Link International Aviation School,,,,Domestic,Rd,107961
2,7357559,Airborne Security Service Incorporated,,,1009,Cataluna,St,108002
2,7252798,Airconditioning & Refrigeration Technologists Inc,,,191,Pasadena,St,104453
2,3640771,Airtech Industrial Corp,,,261,Rizal Extension,Ave,106130
2,3640878,Airtech Industrial Corporation,,,261,Rizal Extension,Ave,106130
2,8956081,Ajinomoto Philippines Corporation,,Union Ajinomoto Building,331,Sen Gil Puyat,Ave,105876
2,5266680,Al Assal Manpower Management and Gen,,,2656,Taft,Ave,106913
2,5266502,Al Gizza International Manpower Services,,,939,J Nakpil,St,107070
2,7750275,Alabang Medical Center,,Alabang Medical Center,,Alabang-Zapote,Rd,106202
2,8420680,Alabang Medical Clinic,,,297,Montillano,St,105068
2,8506718,Alabang Plastic Center Inc,,O & O Building,,Alabang-Zapote,Rd,107725
2,8957872,Alarm Data Security System Inc,,R and D Building,7615,Guijo,St,104838
2,3644159,Alasco Vinyl Corporation,,,665,7th,Ave,107698
2,3643445,Alatone Plastics Incorporated,,,7,Industry 1,St,107725
2,8966951,Alba International Inc,,,38B,Polaris,St,105869
2,3617858,Alba MacHinery and Metalcast Corporation,,,190,Ma Clara,St,107035
2,8075804,Alberto Shoes,,Alabang Town Center,,Alabang-Zapote,Rd,108077
2,7352557,Albros Pest Control Services,,Manufacturers Building,302,Plaza Sta Cruz,St,107387
2,9137708,Alcantara III,Arthur Dennis V,Adelina 2 Condominium,,Columbia,St,106088
2,2420893,Alchester Insurance Agency,,Bpi Building,150,Plaza Cervantes,St,106286.1
2,9839327,Alcophil Metal Inc,,,2066,Candido,St,104491
2,6350631,Alcos Global Corporation,,,12,Calle Obrero,St,107725
2,2414485,Alcu Underwriters Insurance Agency,,Calvo Building,266,Escolta,St,106286.1
2,8451858,Alejo,Ma Auxiliadora Francis,Cityland Condominium 10 Twr 2,154,H v Dela Costa,St,105383
2,9396662,Alem Lumber Hardware,,,1127,Quirino,Hwy,106130
2,2880916,Alendin Hardware,,,198,J P Rizal,St,106130
2,7247794,Alex III Restaurant,,,722,J Abad Santos,St,105869
2,8186221,Alexander House Condm Corp,,Alexander House,132,Amorsolo,St,105192
2,6318591,Alexandra Condominium Corporation,,Alexandra Condominium,29,Meralco,Ave,105192
2,2519516,Alfalub Trading,,,1144,G Masangkay,St,104698
2,6283316,Alfonso II Ardi Health Serv Inc,,,157,Justice R Jabson,St,105068
2,8436637,Alfonso M Cruz Law Offices,,Ps Bank Building,,Sen Gil Puyat,Ave,111176.1
2,8929179,Alimurung,Benjamin N,Makati Medical Center,2,Amorsolo,St,105068
2,8263244,Aling Agnes Native Lechon,,,8204,Dr a Santos,Ave,106638
2,5210558,Aling Nene Express Delivery,,,1300,P Ocampo Sr,St,105869
2,5320245,Aling Tonang's Palabok,,,470,Boni,Ave,106969
2,2450104,Alipio,Patricia Siong,,959,Ylaya,St,107399
2,8316971,Aliw Inn,,,2328,F B Harrison,St,107244
2,8102486,All Asian Countertrade Inc,,National Life Insurance Bldg,6762,Ayala,Ave,108248
2,2421538,All Good Traders,,,55,Juan Luna,St,105296
2,4264274,All Premium Balloons & Party Needs,,,3,Matahimik,St,108180
2,2431646,All Star International and Development Corporation,,All Star Intl & Dev Corp Bldg,288,Penarubia,St,106575
2,5516302,All Star Sport Supplies Inc,,,2138,Gen a Luna,St,108163
2,9288637,All Up Workers Union-National,,,,J P Laurel,St,105976
2,8127767,All-Lights Electrical Supply,,Cityland Dela Rosa Condominium,7648,Dela Rosa,St,105554
2,7355079,Allandale Sports Line Incorporated,,,508,J Nepomuceno,St,108163
2,8931204,Allergy Asthma Foundation of the Phils,,Makati Medical Center,2,Amorsolo,St,105068
2,7115337,Alliance Electric Products,,,917,T Mapua,St,105554
2,5512728,Allied Bank Corporation,,,,Edsa,Ave,104662
2,7331777,Allied Electrical Supply Company,,,677,G Puyat,St,105554
2,3644381,Allied Knitting Mills Inc,,,4,D Arellano,St,106377
2,7240467,Allied Metals Inc,,,545,Edsa,Ave,107190
2,5266078,Allied Ophthalmic Consultant,,Manila Doctors Medical Center,667,United Nations,Ave,108344
2,6371466,Allied Pacific Equity Consultants Inc,,Philippine Stock Exch Ea Twr,,Exchange,Rd,105778
2,3613857,Allied Smelting and Metal Company,,,7,Atis,Rd,107190
2,2452886,Alliedbankers Insurance Corporation,,Federal Tower,,Dasmarinas,St,106286.1
2,2535701,Alliedcor Multitech and Energy Corp,,,1801,J Abad Santos,Ave,104850
2,5320975,Alloy Industrial Supply Corporation,,,99,Edsa,Ave,106796
2,9310205,Alls Well Food Corporation,,Ever Gotesco Commonwealth Ctr,,Commonwealth,Ave,106969
2,3635727,Alltex Garments Inc,,,26,Gen Concepcion,St,105976
2,8726509,Ally Manpower Services,,,21A,Aquamarine,St,105616
2,8968244,Alma Shelter Far East,,Norville Building,1009,Metropolitan,Ave,106758
2,8050044,Almanza Lumber and Construction Supply,,,,Alabang-Zapote,Rd,106130
2,8932804,Almazora Truck Body Builder,,Cityland Condominium 3,105,V a Rufino,St,107521
2,8075814,Almon Marina Inc,,Alabang Town Center,,Alabang-Zapote,Rd,106969
2,5238450,Aloha Hotel,,,2150,Pres M a Roxas,Bvd,106213
2,7723818,Alpha Metals,,Jjaccis Building,,Acacia,Ave,108016
2,5219962,Alpha Pest Control,,,2307,Arellano,Ave,107387
2,3636297,Alpha Sierra Construction Incorporated,,,101,Balingasa,Rd,104733
2,3710824,Alq Trading,,,306B,Roosevelt,Ave,104596
2,2419863,Altaco Development and Industrial Corporation,,,522A,Sto Cristo,St,107243
2,8330945,Altaco Marketing and Construction Supply,,,757,Edsa,Ave,106130
2,6389880,Altamira Cas Alaba & Collado Law Offices,,One Corporate Center Tower,,Dna Julia Vargas,Ave,111176.1
2,8892739,Altaserv Inc,,Rgv Building,5470,Pres S Osmena Sr,Hwy,106913
2,8156016,Alteration Shop Corp,,Glorietta 5,,Ayala,Ave,105474
2,8977004,Althea Insurance Management,,Pelaez Bldg,775,J P Rizal,St,106286.1
2,2425377,Altho Trading,,,678,Sto Cristo,St,106130
2,9312554,Altitude 88 International,,,,Don Antonio Sr,St,105976
2,7332174,Aluminum Power Marketing Corporation,,,671,T Alonzo,St,104491
2,6872697,Alverich Development Corporation,,City & Land Mega Plaza Condo,,Garnet,Rd,107698
2,5244974,Alviar Biomedical Laboratory,,Nfwc Building,1509,J L Escoda,St,106582
2,3618468,Alysons Chemical Enterprises Incorporated,,,189,Sta Quiteria,St,105287
2,7274357,Alysson Global Corp,,Virra Mall,,Ortigas,Ave,106742
2,8971992,Alzaville Realty Corporation,,,7874,Makati,Ave,106969
2,5359391,Ama Bank,,,309,Shaw,Bvd,104662
2,3734390,Ama Computer College,,,59,Panay,Ave,107961
2,7333133,Amapex Industrial Sales,,,856,Bahama,St,108020
2,8215978,Amarnani,Anil Ramesh,,,Armela Compound,St,105944
2,2413867,Ambassador Appliances Incorporated,,,421,Dasmarinas,St,105563
2,8159170,Ambassador Home and Electronics Center Inc,,New Glorietta 2,,West,Drv,105563
2,7436523,Ambassador House of Printers,,,1649,P Guevarra,St,107844
2,7118554,Ambassador House Printer,,,1649,P Guevarra,St,107844
2,8450964,Amber Restaurant Catering & Food Delivery Corporation,,,1324,Filmore,St,107844
2,3612708,Amber Trading and Supply Company Incorporated,,,118,Gen D Mc Arthur,Hwy,107035
2,8975726,Amberjoy Trading,,,611,J P Rizal,St,106130
2,2914285,Amberville Industrial Corp,,Plastic City Corp Bldg,7,T Santiago,St,107313
2,5312593,Amcor Security and Investigation Agency Inc,,,353,San Rafael,St,108002
2,2519589,American Bearing Marketing Corp,,,1265,C M Recto,Ave,104698
2,8341192,American Chamber Found Phils Inc,,,4554,Casino,St,105006
2,8100270,American Chamber of Commerce of the Phils,,Corinthian Plaza,121,Paseo de Roxas,Ave,105006
2,7750632,American Data Exchange Corp,,Don Mariano Lim Indtl Cmplx,,Alabang-Zapote,Rd,109036
2,9377494,American Golden Shoes (Ags),,Susano Complex,,Quirino,Hwy,108077
2,7132301,American Hearing Center,,Jade Building,71,Aurora,Bvd,106153
2,5215967,American Outpatient Clinic,,Femii Building,,A Soriano Jr,Ave,106202
2,9270665,Amh Philippines Inc,,Ang Bahay Ng Alumni Building,,Magsaysay,Ave,105636
2,7406675,Amici Mercantile Inc,,,86,Mayon,St,100415
2,3615767,Amigo Industries,,Ngo Bun Tiong Building,79,Gen D Mc Arthur,Hwy,106766
2,2512491,Amisola Maternity Hospital,,,1068,Hermosa,St,106202
2,8185926,Amorsolo Mansion Apartment,,Amorsolo Mansion,130,Amorsolo,St,104525
2,8106596,Ampil Law Office,,Zeta 2 Building,191,Salcedo,St,111176.1
2,3726928,Amstar Company Inc,,,272,Roosevelt,Ave,107844
2,3735541,Amstar Process Tech Inc,,The West Wing,107,West,Ave,107579
2,7335775,An Yiac Hardware Co Inc,,A and E Building,527,T Alonzo,St,106458
2,3766126,Ancar Motors Incorporated,,,1197,Edsa,Ave,107523
2,8231447,Anchor Polytex Manufacturing Corporation,,,,Sunvalley,Drv,107399
2,2924059,Ancom Paint Manufacturing,,,,M Gregorio,St,107579
2,2770184,Andie's Gravel & Sand,,,27,F Santiago,St,106130
2,2425133,Andings Toys International Inc,,Ndccc Building,,Sta Elena,St,107480
2,2529224,Andison Industrial Sales Inc,,Andison Industrial Bldg,919,Luzon,St,105554
2,9423424,Andres,Antonio,,,Katipunan,St,107022
2,2440096,Ang,Le Hua,,945,Benavidez,St,107399
2,7260285,Ang Bros Sales Centre Incorporated,,,717H,Shaw,Bvd,106130
2,7358594,Ang Joson Dental Lab,,,526,F T Dalupan Sr,St,105381
2,7332874,Ang Jr,Dominador S,Plaza Miranda Shopping Mall,,Carriedo,Ave,105496
2,9293139,Ang Tunay Na Pansit Malabon,,,43,Sct Ybardolaza,St,105869
2,4004645,Angelex Allied Agency,,Aurora Plaza 1,544,Arquiza,St,106913
2,7324243,Angelicum College Inc,,,112,Sen M Cuenco Sr,St,107961
2,8112161,Angelo King Foundation Incorporated,,Kings Court 2 Building,2127,Chino Roces,Ave,110177
2,8178350,Anglican Episcopal Cathedral of the Holy Trinity Inc,,,48,McKinley,Rd,105047
2,2431820,Anglo Chinese School,,Phil Tiong Se Academy,708,Sta Elena,St,107961
2,6315139,Anglo Philippine Oil Corporation,,Quad Alpha Centrum,125,Pioneer,St,106543
2,6435652,Animal Shelter Veterinary Clinic,,,1376,Mercedez,Ave,105068
2,3722420,Anita Glass and Aluminum Enterprises,,Cocobank Building,304,Roosevelt,Ave,104491
2,9267467,Anonas Construction & Industrial Supply Corp,,,142,Kamias,Rd,106130
2,2413350,Anson Emporium,,,800,Salazar,St,105563
2,7230518,Anta Construction Corporation,,,626,Lee,St,105087
2,5317023,Anton Construction Supply,,Jollibee Raymond Bldg,,Abucay,St,106707
2,8438621,Antonio H Abad & Associates Law Offices,,Buma Building,1012,Metropolitan,Ave,111176.1
2,6376626,Antonio S Tria and Associates,,Strata 100,,F Ortigas Jr,Rd,111176.1
2,7256265,Antonio v Gutierrez and Associates,,J and L Building,251,Edsa,Ave,105628
2,3748900,Antz Insurance Agency & Services Co,,Pacific Corporate Center,131,West,Ave,106286.1
2,8520522,Ap Transway System Inc,,Maranaw Restaurant,,Domestic,Rd,106693
2,5316256,Apex Hardware and Constructionsupply,,,502,Boni,Ave,106130
2,9111403,Apo Jewelry Emporium,,New Farmers Plaza,,Edsa,Ave,106339
2,8262914,Apo Lumber and Hardware,,,,Dr a Santos,Ave,106707
2,3645679,Apofortuna Food Corp,,,161,8th,St,105879
2,8448939,Aposento Foods Inc,,Manhattan Square,162,Valero,St,106969
2,5520017,Apple Treat Mart,,Egi Rufino Plaza,,Taft,Ave,105250
2,8936077,Appleseed Montessori Inc,,Liroville Apartment Condo,138,L P Leviste,St,107827
2,6357966,Applied Food Ingredients Co Inc,,Philippine Stock Exch We Twr,,Exchange,Rd,105872
2,8242668,Aqua Drill Incorporated,,,,Dna Soledad Extension,Ave,106804
2,5613111,Aqua Technologies Inc,,,1416,Pres E P Quirino,Ave,106758
2,7424743,Aqua Treatment Technology,,,362,Del Monte,Ave,106758
2,9273232,Aquagem Security & Allied Services Inc,,Chaneley Mansion,44,Sct Borromeo,St,108002
2,8753978,Aquasoft Bf Resort Co,,Tobias Building,31,L Bennet,St,106962
2,8262225,Aquino,Natividad M,L and M Apartment,,St Peter,Ave,105383
2,7366064,Ar Generalate,,Plaza Del Carmen,74,San Rafael,St,106948
2,7335235,Ar Q Hardware,,,614,T Alonzo,St,106130
2,3610734,Aracelli Plastic Products,,,137,3rd,St,107725
2,8906119,Arachnid Inc,,Ferros Bel-Air Tower,30,Polaris,St,106268
2,7365925,Aragones Dental Clinic,,The Residences,,De Dios,St,105383
2,3639415,Aramaki Trading,,,1037,A Bonifacio,Ave,108263
2,7111866,Arambulo,Reynaldo T,Baden House Building,94,D Tuazon,St,105383
2,8179704,Aranas Mendiola & de Jesus Tax Consultancy Services,,Le Metropole,,H v Dela Costa,St,111176.1
2,7122454,Arayalandt Manufacturing Corporation,,,60,P Florentino,St,105606
2,3611096,Arca Industrial Sales,,,172,Ma Clara,St,106130
2,8882594,Arcco Corporation,,Cityland Pasong Tamo Square,6264,Estacion,St,106458
2,8932364,Arcenas,Teresita,Dominion Building,833,A S Arnaiz,Ave,108163
2,9511017,Arceo Rice & Sari-Sari Store,,,7A,Kasunduan Extension,St,106979
2,7346527,Archdiocesan Counselling Center,,,254,Manrique,St,105047
2,8828095,Archdiocesan Shrine of Our Lady of Guadalupe,,,1923,Orense,St,105047
2,3657993,Archelor Security Training Center,,,112,P Burgos,St,107961
2,6384039,Archi-Line Inc,,Mc Home Builders Depot,168,Ortigas,Ave,107001
2,8173588,Arcon Trade Corporation,,,2,Balete,St,105192
2,2530061,Ardex Motor Corp,,,1273,Batangas,St,104587
2,8833853,Ardi Engineering,,Samuel Building 1,3482,Honda,St,105231
2,7347371,Arellano University,,,2600,Legarda,St,107961
2,5215353,Arguelles Medical Clinic Inc,,,1271,Zobel Roxas,Ave,106582
2,5350624,Ariel Javelosa Photography,,,320,Barangka,Drv,109251
2,5227894,Arirang Hotel,,,1767,A Mabini,St,106213
2,6343415,Aristocrat Interiors,,Sm Megamall B,,Edsa,Ave,106659
2,9316765,Aristocrat Marketing,,,,Commonwealth,Ave,105944
2,5367364,Arizona Const Equipt Rental &Sales,,,1732,San Marcelino,St,105201
2,7335979,Arizona Hardware Supply,,,811,Tetuan,St,106130
2,5617900,Arlec Inc,,Cenvoco Building,1765,P M Guazon,St,106969
2,9363522,Arlene Hardware and Construction Supply,,,953,Quirino,Hwy,106130
2,6412573,Arlo Aluminum Company Incorporated,,,231,Dr S Antonio,Ave,104491
2,5232306,Armak Abrasive Products,,,2205,A Linao,St,104377
2,7331544,Armando's Footwear,,,616,G Puyat,St,108077
2,8372113,Armel Plastic Company Incorporated,,,48,2nd,Ave,107725
2,7135182,Armstrong Construction Supply,,Jel Building,358,G Araneta,Ave,106130
2,3643388,Armstrong Industries Incorporated,,,368,Rizal Extension,Ave,108201
2,7259584,Armstrong Resources Corporation,,,718,Shaw,Bvd,106913
2,8040688,Armvet Commercial Press,,,4655,Arellano,St,107844
2,7115443,Aroma Time Center,,,811,Rizal,Ave,106742
2,8894606,Around the World Manpower Services Inc,,Naf Building,2296,Chino Roces,Ave,106913
2,7331806,Arq Hardware,,,614,T Alonzo,St,106130
2,5320281,Arquitectonica,,,670,Sgt Bumatay,St,104544
2,8267378,Arrow Plastic Industrial Corporation,,,8139,Dr a Santos,Ave,107725
2,8202218,Arrow Plastic Industries Corp,,,8139,Dr a Santos,Ave,107725
2,8197475,Arroyo,Henry I,Star Centrum Condominium,317,Sen Gil Puyat,Ave,105383
2,2530373,Arsenio Motor Parts Supply,,,1200,G Masangkay,St,104698
2,8935701,Artemis Realty Corp,,Adamson Center Building,121,L P Leviste,St,106543
2,2431621,Artex Development Company Incorporated,,,431,Juan Luna,St,107399
2,8997937,Arthur's Cut-Rite Tailors Shop,,,850,J P Rizal,St,107297
2,8974212,Artina Suites Hotel Inc,,,2863,E Zobel,St,106213
2,6327509,Arts & Colours Digital Printing,,Strata 100,,F Ortigas Jr,Rd,106088
2,2445650,Asahi Design Centre,,Natividad Building,,Escolta,St,105944
2,7143161,Asc Enterprises Incorporated,,,713,D Santiago,St,106240
2,8446231,Ascalon,Margaret L,Mile Long Building,,Amorsolo,St,105383
2,9302233,Ascension of Our Lord Parish,,,,Ascencion,St,105047
2,8106848,Ascent Insurance Management Agency Inc,,Zeta 2 Building,191,Salcedo,St,106286.1
2,7331811,Asean Industrial Center,,,627,T Alonzo,St,105554
2,8508215,Aseana Marketing Properties &Development,,Corporate Center,,Finance,St,106887
2,9397207,Asencio R,Rosemary L,,,Atherton,St,107652
2,5336912,Ash Letrato Inc,,Market Place Bldg,,Gen Kalentong,St,109251
2,8072255,Asia Brewery Inc,,,,East Service,Rd,104717
2,6368101,Asia Bulk Transport Phils Inc,,Paragon Plaza Building,,Edsa,Ave,105304
2,3615107,Asia Cotton Manufacturing Company Incorporated,,,225,Sto Domingo,Ave,107474
2,5310153,Asia Fabrics Incorporated,,,45,Pinatubo,St,107399
2,2534728,Asia MacHine Shop,,,3068,Limay,St,107035
2,8525836,Asia Pacific Computer Tech College,,Asia Pacific College,3,Humabon,St,107961
2,8108983,Asia Society Philippine Foundation Inc,,Aim Acceed Building,,Benavidez,St,100305
2,6361941,Asia Speedy Printing Centers,,Bldg A,123,Pioneer,St,107844
2,2420459,Asia Textile Mills Inc,,,675F,Rajah Matanda,St,107399
2,3619272,Asia Tractor Parts Supply,,,,Rizal,Ave,107035
2,6414496,Asia United Bank,,,97,C Raymundo,Ave,104662
2,3656977,Asia United Bank Quezon City Branch,,,269,Del Monte,Ave,104662
2,2421688,Asia United Insurance Inc,,Bpi Building,150,Plaza Cervantes,St,106286.1
2,7332176,Asiaco Commercial,,,654,T Alonzo,St,106130
2,6426150,Asian Architects,,,,M Concepcion,St,104544
2,7251935,Asian Base Dental Group Inc,,Virra Mall,,Ortigas,Ave,105383
2,3729280,Asian Biscuit Corp,,,16,Judge Juan Luna,St,104728
2,8890970,Asian Blinds,,,1396L,A Apolinario,St,104736
2,3669282,Asian Caregiving & Technology Education Centers Inc,,,120,B Serrano,St,108841
2,8404493,Asian Center of Christian Min,,Accm Building,102,Valero,St,106948
2,9117386,Asian Charismatic Inc,,,104A,12th,Ave,105047
2,9123238,Asian College of Science and Technology Found Incorporated,,Acsat Building,1013,Aurora,Bvd,107961
2,8982020,Asian Eye Institute,,Phinma Plaza,,Plaza,Drv,106202
2,7141178,Asian Home Hardware,,Ck Building,118,G Araneta,Ave,106130
2,7719261,Asian Hospital Inc,,Asian Hospital & Medical Ctr,2205,Civic,Drv,106202
2,8823711,Asian Institute of Computer Studies,,Security Bank Building,2185,Pres R Magsaysay,Ave,107961
2,3632297,Asian Land Strategies Corporation,,,490,Edsa,Ave,106607
2,5238265,Asian Social Institute,,,1518,Leon Guinto Sr,St,107961
2,9285105,Asian Theological Seminary Incorporated,,,54,Sct Madrinan,St,107961
